image,paddle_time,paddle_regions,paddle_conf,easy_time,easy_regions,easy_conf,tesseract_time,tesseract_regions,tesseract_conf
bank_audit_letter-0001.jpg,1.819322109222412,155,0.9823484970677283,1.5467534065246582,37,0.6327161843959389,1.5096900463104248,390,0.8696410256410255
bank_audit_letter-0002.jpg,0.8397731781005859,63,0.9289238982730441,0.9237782955169678,44,0.8147440293557776,0.6972389221191406,152,0.9110526315789474
bank_audit_letter-0003.jpg,2.3741631507873535,282,0.9318205724793969,2.61405348777771,175,0.7645273080332257,2.150632381439209,472,0.8922033898305085
bank_audit_letter-0004.jpg,2.732470750808716,322,0.9590209246792408,2.7143564224243164,210,0.7851804007941222,2.627220630645752,684,0.8977923976608186
bank_audit_letter-0005.jpg,1.9450359344482422,250,0.972424058675766,1.856367588043213,113,0.7493997598434767,2.0946574211120605,569,0.8730931458699472
bank_audit_letter-0006.jpg,1.7220933437347412,203,0.9801831950107819,1.6477839946746826,74,0.6568810863371685,1.8645658493041992,522,0.9015900383141763
bank_audit_letter-0007.jpg,0.7630836963653564,70,0.976103914635522,0.8325119018554688,23,0.6558511003075115,0.9235239028930664,188,0.9102127659574468
bank_audit_letter-0008.jpg,1.4437997341156006,159,0.9438502721066745,1.6921460628509521,96,0.7948647924613516,1.450087070465088,339,0.8441592920353981
bank_audit_letter-0009.jpg,1.9848365783691406,242,0.9697403740291753,2.2428112030029297,115,0.7876352571150543,1.7951605319976807,460,0.8851086956521739
bank_audit_letter-0010.jpg,0.6281411647796631,56,0.9683265866977828,0.8305275440216064,27,0.6902482068594034,0.7678775787353516,168,0.9067261904761904
bank_audit_letter-0011.jpg,0.948136568069458,75,0.955074417591095,0.9094226360321045,34,0.7217319574132298,0.9127986431121826,207,0.8813043478260871
