image,tesseract_time,tesseract_words,tesseract_conf,easyocr_time,easyocr_regions,easyocr_conf,time_diff,time_diff_pct
bank_audit_letter-0001.jpg,3.315135955810547,390,0.8696410256410255,22.470068216323853,37,0.6363312806500822,19.154932260513306,577.802313867093
bank_audit_letter-0002.jpg,1.382986068725586,152,0.9110526315789474,17.59915256500244,44,0.8019914159176689,16.216166496276855,1172.5473497516837
bank_audit_letter-0003.jpg,4.999672889709473,472,0.8922033898305085,36.86632752418518,175,0.7666565820797645,31.866654634475708,637.3747910601298
bank_audit_letter-0004.jpg,5.3547351360321045,684,0.8977923976608186,38.93116021156311,210,0.7886967546948862,33.576425075531006,627.0417531876537
bank_audit_letter-0005.jpg,4.217868804931641,569,0.8730931458699472,31.32683539390564,113,0.7497166005418965,27.108966588974,642.7171598433195
bank_audit_letter-0006.jpg,4.313109636306763,522,0.9015900383141763,25.852369785308838,74,0.6563646618738341,21.539260149002075,499.390508594763
bank_audit_letter-0007.jpg,1.827744483947754,188,0.9102127659574468,14.463340759277344,23,0.6649371640708879,12.63559627532959,691.3218114622841
bank_audit_letter-0008.jpg,2.3954546451568604,339,0.8441592920353981,23.55634117126465,96,0.8015510220704766,21.160886526107788,883.3766303566196
bank_audit_letter-0009.jpg,3.10426926612854,460,0.8851086956521739,29.771668195724487,115,0.781793291657181,26.667398929595947,859.055598706292
bank_audit_letter-0010.jpg,1.6333937644958496,168,0.9067261904761904,14.742916822433472,27,0.6969257840958485,13.109523057937622,802.5941657726302
bank_audit_letter-0011.jpg,1.578991174697876,207,0.8813043478260871,15.300438642501831,34,0.7055577670994184,13.721447467803955,869.0008967548167
